ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,10/23/2020 12:00:00 AM,$0.62,$0.65,$0.61,$0.63,88699
Democratic,10/23/2020 12:00:00 AM,$0.40,$0.42,$0.37,$0.38,62582
Republican,10/24/2020 12:00:00 AM,$0.63,$0.66,$0.63,$0.65,65477
Democratic,10/24/2020 12:00:00 AM,$0.38,$0.38,$0.36,$0.37,49049
Republican,10/25/2020 12:00:00 AM,$0.65,$0.65,$0.61,$0.62,42140
Democratic,10/25/2020 12:00:00 AM,$0.37,$0.42,$0.37,$0.42,35024
Republican,10/26/2020 12:00:00 AM,$0.62,$0.64,$0.59,$0.63,70600
Democratic,10/26/2020 12:00:00 AM,$0.42,$0.43,$0.39,$0.39,45197
Republican,10/27/2020 12:00:00 AM,$0.63,$0.64,$0.61,$0.64,83806
Democratic,10/27/2020 12:00:00 AM,$0.39,$0.41,$0.37,$0.38,45764
Republican,10/28/2020 12:00:00 AM,$0.64,$0.65,$0.56,$0.58,115639
Democratic,10/28/2020 12:00:00 AM,$0.38,$0.46,$0.36,$0.44,95114
Republican,10/29/2020 12:00:00 AM,$0.58,$0.58,$0.54,$0.57,95828
Democratic,10/29/2020 12:00:00 AM,$0.44,$0.48,$0.43,$0.47,79906
Republican,10/30/2020 12:00:00 AM,$0.57,$0.58,$0.52,$0.58,121905
Democratic,10/30/2020 12:00:00 AM,$0.47,$0.49,$0.44,$0.47,74552
Republican,10/31/2020 12:00:00 AM,$0.58,$0.62,$0.55,$0.60,126783
Democratic,10/31/2020 12:00:00 AM,$0.47,$0.48,$0.41,$0.42,86258
Republican,11/1/2020 12:00:00 AM,$0.60,$0.62,$0.57,$0.60,139318
Democratic,11/1/2020 12:00:00 AM,$0.42,$0.44,$0.40,$0.42,94113
Republican,11/2/2020 12:00:00 AM,$0.61,$0.64,$0.59,$0.61,309769
Democratic,11/2/2020 12:00:00 AM,$0.42,$0.44,$0.38,$0.40,204862
Republican,11/3/2020 12:00:00 AM,$0.61,$0.99,$0.55,$0.92,408348
Democratic,11/3/2020 12:00:00 AM,$0.40,$0.48,$0.01,$0.10,303031
Republican,11/4/2020 12:00:00 AM,$0.92,$0.92,$0.25,$0.30,2047765
Democratic,11/4/2020 12:00:00 AM,$0.10,$0.83,$0.10,$0.70,1642043
Republican,11/5/2020 12:00:00 AM,$0.30,$0.64,$0.12,$0.16,1246328
Democratic,11/5/2020 12:00:00 AM,$0.70,$0.90,$0.47,$0.84,1546548
Republican,11/6/2020 12:00:00 AM,$0.16,$0.22,$0.09,$0.14,657561
Democratic,11/6/2020 12:00:00 AM,$0.84,$0.93,$0.81,$0.88,750968
Republican,11/7/2020 12:00:00 AM,$0.14,$0.16,$0.08,$0.13,348709
Democratic,11/7/2020 12:00:00 AM,$0.88,$0.94,$0.87,$0.89,345844
Republican,11/8/2020 12:00:00 AM,$0.13,$0.19,$0.10,$0.15,231857
Democratic,11/8/2020 12:00:00 AM,$0.89,$0.91,$0.83,$0.86,331274
Republican,11/9/2020 12:00:00 AM,$0.15,$0.29,$0.14,$0.18,320038
Democratic,11/9/2020 12:00:00 AM,$0.86,$0.87,$0.78,$0.83,400690
Republican,11/10/2020 12:00:00 AM,$0.18,$0.22,$0.16,$0.19,128516
Democratic,11/10/2020 12:00:00 AM,$0.83,$0.85,$0.81,$0.84,148129
Republican,11/11/2020 12:00:00 AM,$0.19,$0.21,$0.14,$0.18,143633
Democratic,11/11/2020 12:00:00 AM,$0.84,$0.88,$0.79,$0.85,197116
Republican,11/12/2020 12:00:00 AM,$0.18,$0.18,$0.13,$0.15,141978
Democratic,11/12/2020 12:00:00 AM,$0.85,$0.89,$0.84,$0.86,121702
Republican,11/13/2020 12:00:00 AM,$0.15,$0.17,$0.08,$0.10,167768
Democratic,11/13/2020 12:00:00 AM,$0.86,$0.92,$0.85,$0.91,186387
Republican,11/14/2020 12:00:00 AM,$0.10,$0.15,$0.10,$0.11,91042
Democratic,11/14/2020 12:00:00 AM,$0.91,$0.92,$0.89,$0.90,98023
Republican,11/15/2020 12:00:00 AM,$0.11,$0.14,$0.10,$0.13,81692
Democratic,11/15/2020 12:00:00 AM,$0.90,$0.91,$0.87,$0.88,92377
Republican,11/16/2020 12:00:00 AM,$0.13,$0.15,$0.12,$0.13,98548
Democratic,11/16/2020 12:00:00 AM,$0.88,$0.90,$0.85,$0.86,85025
Republican,11/17/2020 12:00:00 AM,$0.13,$0.14,$0.10,$0.11,113073
Democratic,11/17/2020 12:00:00 AM,$0.86,$0.91,$0.85,$0.90,137849
Republican,11/18/2020 12:00:00 AM,$0.11,$0.13,$0.09,$0.11,100364
Democratic,11/18/2020 12:00:00 AM,$0.90,$0.91,$0.88,$0.90,122144
Republican,11/19/2020 12:00:00 AM,$0.11,$0.16,$0.08,$0.10,169540
Democratic,11/19/2020 12:00:00 AM,$0.90,$0.91,$0.86,$0.90,164420
Republican,11/20/2020 12:00:00 AM,$0.10,$0.12,$0.06,$0.10,223147
Democratic,11/20/2020 12:00:00 AM,$0.90,$0.93,$0.89,$0.92,223353
Republican,11/21/2020 12:00:00 AM,$0.10,$0.13,$0.08,$0.12,84581
Democratic,11/21/2020 12:00:00 AM,$0.92,$0.93,$0.88,$0.88,71596
Republican,11/22/2020 12:00:00 AM,$0.12,$0.15,$0.10,$0.14,88620
Democratic,11/22/2020 12:00:00 AM,$0.88,$0.90,$0.86,$0.88,63152
Republican,11/23/2020 12:00:00 AM,$0.14,$0.16,$0.06,$0.09,130432
Democratic,11/23/2020 12:00:00 AM,$0.88,$0.95,$0.87,$0.92,174937
Republican,11/24/2020 12:00:00 AM,$0.09,$0.12,$0.07,$0.09,153351
Democratic,11/24/2020 12:00:00 AM,$0.92,$0.94,$0.89,$0.91,107752
Republican,11/25/2020 12:00:00 AM,$0.09,$0.12,$0.09,$0.12,61876
Democratic,11/25/2020 12:00:00 AM,$0.91,$0.92,$0.88,$0.89,77903
Republican,11/26/2020 12:00:00 AM,$0.12,$0.17,$0.11,$0.13,61531
Democratic,11/26/2020 12:00:00 AM,$0.89,$0.90,$0.86,$0.88,37414
Republican,11/27/2020 12:00:00 AM,$0.13,$0.13,$0.11,$0.11,36401
Democratic,11/27/2020 12:00:00 AM,$0.88,$0.91,$0.87,$0.89,58677
Republican,11/28/2020 12:00:00 AM,$0.11,$0.13,$0.11,$0.11,50814
Democratic,11/28/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.89,35587
Republican,11/29/2020 12:00:00 AM,$0.11,$0.12,$0.11,$0.11,40759
Democratic,11/29/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.90,39941
Republican,11/30/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,62263
Democratic,11/30/2020 12:00:00 AM,$0.90,$0.91,$0.88,$0.89,57515
Republican,12/1/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.10,45442
Democratic,12/1/2020 12:00:00 AM,$0.89,$0.91,$0.89,$0.91,53237
Republican,12/2/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.11,45072
Democratic,12/2/2020 12:00:00 AM,$0.91,$0.91,$0.90,$0.90,39701
Republican,12/3/2020 12:00:00 AM,$0.11,$0.17,$0.09,$0.17,96186
Democratic,12/3/2020 12:00:00 AM,$0.90,$0.91,$0.85,$0.86,124018
Republican,12/4/2020 12:00:00 AM,$0.17,$0.17,$0.13,$0.13,102678
Democratic,12/4/2020 12:00:00 AM,$0.86,$0.88,$0.84,$0.88,97611
Republican,12/5/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.13,22671
Democratic,12/5/2020 12:00:00 AM,$0.88,$0.88,$0.87,$0.88,22397
Republican,12/6/2020 12:00:00 AM,$0.13,$0.14,$0.11,$0.12,57805
Democratic,12/6/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.88,34394
Republican,12/7/2020 12:00:00 AM,$0.12,$0.15,$0.10,$0.12,70344
Democratic,12/7/2020 12:00:00 AM,$0.88,$0.91,$0.87,$0.89,64775
Republican,12/8/2020 12:00:00 AM,$0.12,$0.13,$0.10,$0.12,51543
Democratic,12/8/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.90,50285
Republican,12/9/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.11,59011
Democratic,12/9/2020 12:00:00 AM,$0.90,$0.91,$0.89,$0.89,68042
Republican,12/10/2020 12:00:00 AM,$0.11,$0.12,$0.07,$0.09,110587
Democratic,12/10/2020 12:00:00 AM,$0.89,$0.93,$0.88,$0.93,144651
Republican,12/11/2020 12:00:00 AM,$0.09,$0.10,$0.02,$0.06,242201
Democratic,12/11/2020 12:00:00 AM,$0.93,$0.99,$0.92,$0.96,220057
Republican,12/12/2020 12:00:00 AM,$0.06,$0.06,$0.03,$0.06,72294
Democratic,12/12/2020 12:00:00 AM,$0.96,$0.97,$0.95,$0.95,142403
Republican,12/13/2020 12:00:00 AM,$0.06,$0.07,$0.05,$0.05,55660
Democratic,12/13/2020 12:00:00 AM,$0.95,$0.97,$0.95,$0.95,33677
Republican,12/14/2020 12:00:00 AM,$0.05,$0.10,$0.03,$0.06,164420
Democratic,12/14/2020 12:00:00 AM,$0.95,$0.97,$0.90,$0.94,127623
Republican,12/15/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,12/15/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
