ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Democratic,10/18/2020 12:00:00 AM,$0.69,$0.71,$0.68,$0.68,44017
Republican,10/19/2020 12:00:00 AM,$0.34,$0.40,$0.34,$0.35,86699
Democratic,10/19/2020 12:00:00 AM,$0.68,$0.69,$0.64,$0.66,82623
Republican,10/20/2020 12:00:00 AM,$0.35,$0.39,$0.33,$0.38,84482
Democratic,10/20/2020 12:00:00 AM,$0.66,$0.70,$0.63,$0.65,82812
Republican,10/21/2020 12:00:00 AM,$0.38,$0.40,$0.35,$0.36,96753
Democratic,10/21/2020 12:00:00 AM,$0.65,$0.69,$0.63,$0.68,70689
Republican,10/22/2020 12:00:00 AM,$0.36,$0.41,$0.36,$0.40,120913
Democratic,10/22/2020 12:00:00 AM,$0.68,$0.69,$0.62,$0.64,87492
Republican,10/23/2020 12:00:00 AM,$0.40,$0.43,$0.37,$0.40,116442
Democratic,10/23/2020 12:00:00 AM,$0.64,$0.66,$0.61,$0.63,86969
Republican,10/24/2020 12:00:00 AM,$0.40,$0.43,$0.38,$0.43,88056
Democratic,10/24/2020 12:00:00 AM,$0.63,$0.65,$0.62,$0.62,66703
Republican,10/25/2020 12:00:00 AM,$0.43,$0.43,$0.37,$0.37,87588
Democratic,10/25/2020 12:00:00 AM,$0.62,$0.66,$0.61,$0.66,65802
Republican,10/26/2020 12:00:00 AM,$0.37,$0.42,$0.36,$0.41,152895
Democratic,10/26/2020 12:00:00 AM,$0.66,$0.67,$0.60,$0.63,126670
Republican,10/27/2020 12:00:00 AM,$0.41,$0.45,$0.39,$0.45,221719
Democratic,10/27/2020 12:00:00 AM,$0.63,$0.64,$0.58,$0.59,169475
Republican,10/28/2020 12:00:00 AM,$0.45,$0.46,$0.40,$0.42,185772
Democratic,10/28/2020 12:00:00 AM,$0.59,$0.64,$0.57,$0.62,158291
Republican,10/29/2020 12:00:00 AM,$0.42,$0.42,$0.37,$0.41,171813
Democratic,10/29/2020 12:00:00 AM,$0.62,$0.67,$0.60,$0.64,157829
Republican,10/30/2020 12:00:00 AM,$0.41,$0.42,$0.39,$0.40,158176
Democratic,10/30/2020 12:00:00 AM,$0.64,$0.65,$0.61,$0.64,123482
Republican,10/31/2020 12:00:00 AM,$0.40,$0.46,$0.40,$0.45,213088
Democratic,10/31/2020 12:00:00 AM,$0.64,$0.65,$0.59,$0.60,163701
Republican,11/1/2020 12:00:00 AM,$0.45,$0.45,$0.41,$0.44,155274
Democratic,11/1/2020 12:00:00 AM,$0.60,$0.64,$0.58,$0.60,234109
Republican,11/2/2020 12:00:00 AM,$0.44,$0.48,$0.42,$0.45,153696
Democratic,11/2/2020 12:00:00 AM,$0.60,$0.63,$0.58,$0.61,479392
Republican,11/3/2020 12:00:00 AM,$0.45,$0.76,$0.34,$0.60,165042
Democratic,11/3/2020 12:00:00 AM,$0.61,$0.72,$0.25,$0.44,329350
Republican,11/4/2020 12:00:00 AM,$0.60,$0.77,$0.15,$0.17,909956
Democratic,11/4/2020 12:00:00 AM,$0.44,$0.89,$0.29,$0.86,1097238
