ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,10/23/2020 12:00:00 AM,$0.35,$0.37,$0.33,$0.35,100012
Democratic,10/23/2020 12:00:00 AM,$0.68,$0.70,$0.65,$0.66,77224
Republican,10/24/2020 12:00:00 AM,$0.35,$0.42,$0.33,$0.37,125291
Democratic,10/24/2020 12:00:00 AM,$0.66,$0.69,$0.63,$0.66,82241
Republican,10/25/2020 12:00:00 AM,$0.37,$0.37,$0.32,$0.32,94323
Democratic,10/25/2020 12:00:00 AM,$0.66,$0.71,$0.65,$0.68,81511
Republican,10/26/2020 12:00:00 AM,$0.32,$0.35,$0.31,$0.32,138075
Democratic,10/26/2020 12:00:00 AM,$0.68,$0.72,$0.68,$0.70,109687
Republican,10/27/2020 12:00:00 AM,$0.32,$0.36,$0.31,$0.35,195393
Democratic,10/27/2020 12:00:00 AM,$0.70,$0.72,$0.66,$0.67,121323
Republican,10/28/2020 12:00:00 AM,$0.35,$0.36,$0.29,$0.29,185687
Democratic,10/28/2020 12:00:00 AM,$0.67,$0.73,$0.66,$0.71,157255
Republican,10/29/2020 12:00:00 AM,$0.29,$0.33,$0.27,$0.32,179417
Democratic,10/29/2020 12:00:00 AM,$0.71,$0.74,$0.71,$0.72,131355
Republican,10/30/2020 12:00:00 AM,$0.32,$0.33,$0.28,$0.32,218185
Democratic,10/30/2020 12:00:00 AM,$0.72,$0.75,$0.70,$0.73,166158
Republican,10/31/2020 12:00:00 AM,$0.32,$0.34,$0.29,$0.32,240494
Democratic,10/31/2020 12:00:00 AM,$0.73,$0.74,$0.68,$0.69,176829
Republican,11/1/2020 12:00:00 AM,$0.32,$0.34,$0.28,$0.32,323461
Democratic,11/1/2020 12:00:00 AM,$0.69,$0.73,$0.68,$0.70,217831
Republican,11/2/2020 12:00:00 AM,$0.33,$0.35,$0.31,$0.33,211679
Democratic,11/2/2020 12:00:00 AM,$0.71,$0.72,$0.66,$0.69,475196
Republican,11/3/2020 12:00:00 AM,$0.33,$0.75,$0.26,$0.65,214169
Democratic,11/3/2020 12:00:00 AM,$0.69,$0.79,$0.29,$0.50,557084
Republican,11/4/2020 12:00:00 AM,$0.65,$0.70,$0.04,$0.07,1156194
Democratic,11/4/2020 12:00:00 AM,$0.50,$0.97,$0.31,$0.94,1276309
Republican,11/5/2020 12:00:00 AM,$0.07,$0.11,$0.05,$0.08,395886
Democratic,11/5/2020 12:00:00 AM,$0.94,$0.96,$0.89,$0.95,443574
Republican,11/6/2020 12:00:00 AM,$0.08,$0.10,$0.04,$0.08,321439
Democratic,11/6/2020 12:00:00 AM,$0.95,$0.97,$0.90,$0.92,476849
Republican,11/7/2020 12:00:00 AM,$0.08,$0.11,$0.05,$0.08,189187
Democratic,11/7/2020 12:00:00 AM,$0.92,$0.97,$0.90,$0.93,449063
Republican,11/8/2020 12:00:00 AM,$0.08,$0.13,$0.07,$0.11,146043
Democratic,11/8/2020 12:00:00 AM,$0.93,$0.94,$0.89,$0.90,183367
Republican,11/9/2020 12:00:00 AM,$0.11,$0.20,$0.09,$0.12,159158
Democratic,11/9/2020 12:00:00 AM,$0.90,$0.92,$0.85,$0.87,255330
Republican,11/10/2020 12:00:00 AM,$0.12,$0.17,$0.11,$0.16,104041
Democratic,11/10/2020 12:00:00 AM,$0.87,$0.90,$0.85,$0.88,167868
Republican,11/11/2020 12:00:00 AM,$0.16,$0.17,$0.11,$0.12,81519
Democratic,11/11/2020 12:00:00 AM,$0.88,$0.90,$0.84,$0.90,125624
Republican,11/12/2020 12:00:00 AM,$0.12,$0.15,$0.09,$0.11,74398
Democratic,11/12/2020 12:00:00 AM,$0.90,$0.92,$0.88,$0.90,93844
Republican,11/13/2020 12:00:00 AM,$0.11,$0.15,$0.09,$0.10,71280
